Sede	Código.	Descripción de Materia	Modalidad	Periodo	Grupo	Profesor	HORARIO
CAMPUS TECNOLOGICO CENTRAL CARTAGO	QU1106	Química básica I	SEMESTRE	2	2	CALLEJA AMADOR CARLOS ENRIQUE	MAR[07:30-09:20] JUE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	QU1106	Química básica I	SEMESTRE	2	3	PORRAS ACOSTA MARIA	MAR[09:30-11:20] JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	QU1106	Química básica I	SEMESTRE	2	5	SOTO CORDOBA SILVIA	MAR[13:00-14:50] JUE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	QU1106	Química básica I	SEMESTRE	2	7	QUIROS BUSTOS NOEMI	MAR[15:00-16:50] JUE[15:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	QU1106	Química básica I	SEMESTRE	2	9	PORRAS ACOSTA MARIA	MIE[09:30-11:20] VIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	QU1106	Química básica I	SEMESTRE	2	11	VILLALTA ROMERO FABIAN	MIE[13:00-14:50] VIE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	SO4604	Seguridad y salud ocupacional	SEMESTRE	2	1	MORALES MARTINEZ GABRIELA	LUN[07:30-10:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	SO4604	Seguridad y salud ocupacional	SEMESTRE	2	2	CARPIO CHAVES MONICA	JUE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	SO4604	Seguridad y salud ocupacional	SEMESTRE	2	3	MORALES MARTINEZ GABRIELA	JUE[17:00-19:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	SO4604	Seguridad y salud ocupacional	SEMESTRE	2	4	MORALES MARTINEZ GABRIELA	MIE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	SO4604	Seguridad y salud ocupacional	SEMESTRE	2	5	MORALES MARTINEZ GABRIELA	VIE[07:30-10:20]
